,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
117,cairns,1.0,AU,1620878647.0,54.0,-16.9167,145.7667,85.91,8.05
118,palauig,3.0,PH,1620878819.0,54.0,15.435,119.9045,90.43,7.25
119,talcahuano,100.0,CL,1620878819.0,100.0,-36.7167,-73.1167,45.91,3.44
120,san quintin,0.0,MX,1620878819.0,86.0,30.4833,-115.95,60.19,7.29
121,los llanos de aridane,90.0,ES,1620878820.0,86.0,28.6585,-17.9182,62.11,16.62
122,saint-philippe,43.0,RE,1620878820.0,81.0,-21.3585,55.7679,74.57,10.4
123,uvat,100.0,RU,1620878820.0,80.0,59.1433,68.8953,57.88,6.55
124,geraldton,94.0,AU,1620878658.0,48.0,-28.7667,114.6,78.8,17.2
125,mount isa,0.0,AU,1620878821.0,19.0,-20.7333,139.5,76.39,11.5
126,nyagan,71.0,RU,1620878821.0,56.0,62.1406,65.3936,57.33,10.33
127,port hardy,69.0,CA,1620878821.0,92.0,50.6996,-127.4199,50.43,11.48
128,roebourne,0.0,AU,1620878822.0,28.0,-20.7833,117.1333,88.03,14.43
129,mehamn,95.0,NO,1620878822.0,96.0,71.0357,27.8492,40.6,8.37
130,port elizabeth,3.0,ZA,1620878822.0,83.0,-33.918,25.5701,55.67,4.72
131,naze,78.0,JP,1620878822.0,85.0,28.3667,129.4833,72.48,12.39
132,tomatlan,6.0,MX,1620878823.0,72.0,19.9333,-105.25,76.93,0.43
133,socorro,1.0,US,1620878823.0,49.0,31.6546,-106.3033,57.02,15.75
134,te anau,0.0,NZ,1620878824.0,69.0,-45.4167,167.7167,51.42,2.51
135,fez,0.0,MA,1620878807.0,68.0,34.0372,-4.9998,43.54,2.28
136,hofu,100.0,JP,1620878824.0,92.0,34.05,131.5667,69.69,1.43
137,vao,100.0,NC,1620878772.0,79.0,-22.6667,167.4833,75.07,18.9
138,inuvik,98.0,CA,1620878824.0,81.0,68.3499,-133.7218,21.22,11.81
139,ouro preto,85.0,BR,1620878825.0,67.0,-20.3948,-43.5052,55.67,3.27
140,edmundston,1.0,CA,1620878545.0,65.0,47.3737,-68.3251,40.71,6.91
141,arraial do cabo,100.0,BR,1620878825.0,90.0,-22.9661,-42.0278,70.27,16.15
142,bandarbeyla,98.0,SO,1620878825.0,62.0,9.4942,50.8122,85.28,17.87
143,laguna,1.0,US,1620878826.0,44.0,38.421,-121.4238,78.91,1.01
144,kiruna,90.0,SE,1620878826.0,100.0,67.8557,20.2251,33.06,3.44
145,mbuji-mayi,1.0,CD,1620878826.0,82.0,-6.15,23.6,66.16,2.55
146,lompoc,90.0,US,1620878641.0,88.0,34.6391,-120.4579,57.63,6.91
147,tasiilaq,50.0,GL,1620878827.0,91.0,65.6145,-37.6368,24.35,3.89
148,guerrero negro,0.0,MX,1620878827.0,83.0,27.9769,-114.0611,60.57,14.07
149,pisco,0.0,PE,1620878706.0,88.0,-13.7,-76.2167,64.31,10.36
150,hami,100.0,CN,1620878827.0,58.0,42.8,93.45,54.99,11.05
151,pringsewu,99.0,ID,1620878828.0,61.0,-5.3582,104.9744,88.68,4.38
152,torshavn,100.0,FO,1620878828.0,77.0,62.0097,-6.7716,39.2,20.65
153,saskylakh,100.0,RU,1620878828.0,91.0,71.9167,114.0833,33.1,6.98
154,kaitangata,6.0,NZ,1620878829.0,61.0,-46.2817,169.8464,51.93,3.06
155,bataipora,61.0,BR,1620878829.0,99.0,-22.2953,-53.2711,56.95,3.38
156,mugur-aksy,100.0,RU,1620878829.0,84.0,50.35,90.5,36.18,6.49
157,mahajanga,20.0,MG,1620878829.0,78.0,-15.7167,46.3167,74.98,4.61
159,norman wells,100.0,CA,1620878830.0,97.0,65.282,-126.8329,37.06,7.7
160,tvoroyri,100.0,FO,1620878830.0,76.0,61.5556,-6.8111,39.2,22.66
161,tocopilla,62.0,CL,1620878831.0,78.0,-22.092,-70.1979,65.71,6.64
162,abu kamal,1.0,SY,1620878831.0,16.0,34.4506,40.9171,79.59,6.02
163,lasa,100.0,IT,1620878831.0,96.0,46.6166,10.7002,41.85,5.82
164,tiksi,99.0,RU,1620878891.0,73.0,71.6872,128.8694,28.62,5.28
165,kabanjahe,96.0,ID,1620878784.0,69.0,3.1001,98.4908,75.61,2.64
166,thompson,100.0,CA,1620878892.0,86.0,55.7435,-97.8558,39.33,10.13
167,tigil,38.0,RU,1620878892.0,42.0,57.8,158.6667,45.36,11.34
168,palmer,75.0,US,1620878680.0,76.0,42.1584,-72.3287,48.72,3.15
170,mujiayingzi,100.0,CN,1620878892.0,49.0,42.1167,118.7833,64.33,6.82
171,samsun,75.0,TR,1620878893.0,58.0,41.25,36.3333,57.88,1.63
172,vestmannaeyjar,88.0,IS,1620878893.0,65.0,63.4427,-20.2734,41.56,8.93
173,tommot,100.0,RU,1620878893.0,98.0,58.9564,126.2925,41.41,3.24
174,alofi,43.0,NU,1620878893.0,77.0,-19.0595,-169.9187,77.4,19.93
175,betsiamites,76.0,CA,1620878894.0,76.0,48.9413,-68.646,33.69,6.62
176,latung,97.0,PH,1620878894.0,75.0,5.5,120.8833,84.72,11.01
177,isangel,100.0,VU,1620878894.0,73.0,-19.55,169.2667,78.4,10.8
178,abaete,62.0,BR,1620878895.0,50.0,-19.16,-45.4458,60.64,2.35
179,jamestown,1.0,US,1620878895.0,66.0,42.097,-79.2353,40.37,1.99
180,fairbanks,75.0,US,1620878800.0,49.0,64.8378,-147.7164,55.62,0.0
181,kahului,1.0,US,1620878615.0,75.0,20.8947,-156.47,75.2,19.57
182,teguise,75.0,ES,1620878895.0,86.0,29.0605,-13.564,62.71,25.81
183,touros,100.0,BR,1620878726.0,96.0,-5.1989,-35.4608,75.09,8.14
184,tual,57.0,ID,1620878836.0,76.0,-5.6667,132.75,83.61,16.08
185,kon tum,63.0,VN,1620878896.0,36.0,14.35,108.0,95.61,2.35
186,la cruz,48.0,MX,1620878896.0,91.0,23.9167,-106.9,77.86,1.99
187,honningsvag,75.0,NO,1620878896.0,96.0,70.9821,25.9704,39.2,5.86
188,bardiyah,0.0,LY,1620878896.0,67.0,31.7561,25.0865,66.43,6.11
189,snyder,1.0,US,1620878897.0,82.0,32.7179,-100.9176,47.75,5.75
190,lucapa,0.0,AO,1620878897.0,79.0,-8.4192,20.7447,60.85,2.86
191,sri aman,100.0,MY,1620878897.0,84.0,1.2376,111.4621,80.64,3.09
192,maturin,90.0,VE,1620878897.0,92.0,9.75,-63.1767,72.03,4.09
193,ancud,100.0,CL,1620878898.0,92.0,-41.8697,-73.8203,50.43,4.14
194,hithadhoo,100.0,MV,1620878866.0,86.0,-0.6,73.0833,79.92,15.61
195,kupang,20.0,ID,1620878898.0,43.0,-10.1667,123.5833,88.99,20.71
196,itaguai,97.0,BR,1620878898.0,93.0,-22.8522,-43.7753,69.39,10.29
197,corinto,13.0,GR,1620878898.0,76.0,37.9407,22.9573,66.88,9.08
198,syasstroy,15.0,RU,1620878899.0,75.0,60.1367,32.5691,56.5,7.7
199,castro,100.0,BR,1620878899.0,98.0,-24.7911,-50.0119,52.57,5.48
200,albacete,0.0,ES,1620878899.0,75.0,38.8333,-2.0,40.87,8.59
201,henties bay,0.0,NA,1620878899.0,44.0,-22.116,14.2845,71.2,5.26
202,angoram,46.0,PG,1620878900.0,58.0,-4.0625,144.0661,90.41,6.04
203,ittiri,31.0,IT,1620878900.0,95.0,40.5929,8.5684,52.45,4.32
204,nikolskoye,12.0,RU,1620878900.0,72.0,59.7035,30.7861,59.63,6.44
205,neiafu,40.0,TO,1620878900.0,78.0,-18.65,-173.9833,78.58,8.05
206,chokurdakh,22.0,RU,1620878901.0,86.0,70.6333,147.9167,22.37,3.91
207,aksu,99.0,CN,1620878901.0,31.0,41.1231,80.2644,65.44,5.12
208,provideniya,90.0,RU,1620878901.0,87.0,64.3833,-173.3,35.55,11.18
209,yellowknife,99.0,CA,1620878804.0,71.0,62.456,-114.3525,47.12,10.87
210,saint-georges,35.0,GD,1620878902.0,75.0,12.0564,-61.7485,78.6,16.49
211,gunnedah,0.0,AU,1620878902.0,59.0,-30.9833,150.25,63.72,1.99
212,bartlesville,1.0,US,1620878902.0,82.0,36.7473,-95.9808,54.68,0.0
213,kayes,62.0,ML,1620878903.0,36.0,14.0,-11.0,89.29,5.73
214,vilnius,75.0,LT,1620878903.0,87.0,54.6892,25.2798,49.8,9.22
215,manuk mangkaw,76.0,PH,1620878963.0,75.0,4.8,119.85,84.27,10.22
216,sonoita,0.0,MX,1620878963.0,17.0,31.85,-112.8333,76.08,3.83
217,bambous virieux,27.0,MU,1620878964.0,74.0,-20.3428,57.7575,77.7,17.6
218,puerto madero,75.0,MX,1620878964.0,89.0,14.7208,-92.4215,80.49,5.75
219,tuatapere,1.0,NZ,1620878899.0,62.0,-46.1333,167.6833,51.71,2.86
220,kailua,1.0,US,1620878888.0,69.0,21.4022,-157.7394,80.56,13.8
221,simplicio mendes,97.0,BR,1620878964.0,66.0,-7.8539,-41.9103,74.28,5.57
222,new norfolk,100.0,AU,1620878864.0,74.0,-42.7826,147.0587,51.44,5.01
223,katima mulilo,0.0,NA,1620878965.0,76.0,-17.5,24.2667,52.5,3.31
224,kautokeino,100.0,NO,1620878965.0,100.0,69.0125,23.0412,35.46,5.08
225,bafra,53.0,TR,1620878965.0,77.0,41.5678,35.9069,58.71,3.78
226,rawah,30.0,IQ,1620878966.0,15.0,34.4816,41.9093,82.29,4.09
227,leningradskiy,100.0,RU,1620878966.0,95.0,69.3833,178.4167,33.37,2.73
228,aldan,100.0,RU,1620878966.0,99.0,58.6031,125.3894,36.14,4.52
229,celestun,82.0,MX,1620878966.0,61.0,20.8667,-90.4,86.02,11.45
230,ribeira grande,20.0,PT,1620878967.0,89.0,38.5167,-28.7,62.58,9.13
231,haimen,79.0,CN,1620878967.0,68.0,23.1935,116.6142,86.67,13.53
232,anahuac,100.0,MX,1620878967.0,81.0,27.2333,-100.15,66.15,8.1
234,kirakira,16.0,SB,1620878968.0,68.0,-10.4544,161.9205,84.54,6.26
